RecordNo,Study,Region,Treat,TreatDetail,yearabs,yearnum,per_ha_dead,,,
171,Gibson90,MT,monitor,mur_crk,1982,6,17.54819575,,,
172,Gibson90,MT,monitor,mur_crk,1983,7,52.64458725,,,
173,Gibson90,MT,monitor,mur_crk,1984,8,17.05388038,,,
174,Gibson90,MT,monitor,mur_crk,1985,9,40.28670292,,,
175,Gibson90,MT,monitor,mur_crk,1986,10,89.47108255,,,
176,Gibson90,MT,monitor,mur_crk,1987,11,61.78942165,,,
177,Gibson90,MT,monitor,mur_crk,1988,12,40.5338606,,,
178,Gibson90,MT,monitor,bld_crk,1977,1,0,,,
179,Gibson90,MT,monitor,bld_crk,1978,2,0,,,
180,Gibson90,MT,monitor,bld_crk,1979,3,1.977261493,,,
181,Gibson90,MT,monitor,bld_crk,1980,4,0,,,
182,Gibson90,MT,monitor,bld_crk,1981,5,0,,,
183,Gibson90,MT,monitor,bld_crk,1982,6,0,,,
184,Gibson90,MT,monitor,bld_crk,1983,7,0,,,
185,Gibson90,MT,monitor,bld_crk,1984,8,3.460207612,,,
186,Gibson90,MT,monitor,bld_crk,1985,9,6.178942165,,,
187,Gibson90,MT,monitor,bld_crk,1986,10,44.73554128,,,
188,Gibson90,MT,monitor,bld_crk,1987,11,135.1952546,,,
189,Gibson90,MT,monitor,bld_crk,1988,12,87.49382106,,,
190,Gibson90,MT,monitor,dun_crk,1977,1,0,,,
191,Gibson90,MT,monitor,dun_crk,1978,2,1.48294612,,,
192,Gibson90,MT,monitor,dun_crk,1979,3,0,,,
193,Gibson90,MT,monitor,dun_crk,1980,4,1.235788433,,,
194,Gibson90,MT,monitor,dun_crk,1981,5,0,,,
195,Gibson90,MT,monitor,dun_crk,1982,6,0,,,
196,Gibson90,MT,monitor,dun_crk,1983,7,10.13346515,,,
197,Gibson90,MT,monitor,dun_crk,1984,8,30.64755314,,,
198,Gibson90,MT,monitor,dun_crk,1985,9,120.3657934,,,
199,Gibson90,MT,monitor,dun_crk,1986,10,75.87740979,,,
200,Gibson90,MT,monitor,dun_crk,1987,11,9.639149778,,,
201,Gibson90,MT,monitor,dun_crk,1988,12,1.730103806,,,
202,Gibson90,MT,monitor,ced_crk,1977,1,0.74147306,,,
203,Gibson90,MT,monitor,ced_crk,1978,2,2.471576866,,,
204,Gibson90,MT,monitor,ced_crk,1979,3,0,,,
205,Gibson90,MT,monitor,ced_crk,1980,4,1.730103806,,,
206,Gibson90,MT,monitor,ced_crk,1981,5,0,,,
207,Gibson90,MT,monitor,ced_crk,1982,6,1.235788433,,,
208,Gibson90,MT,monitor,ced_crk,1983,7,0,,,
209,Gibson90,MT,monitor,ced_crk,1984,8,0.988630746,,,
210,Gibson90,MT,monitor,ced_crk,1985,9,1.235788433,,,
211,Gibson90,MT,monitor,ced_crk,1986,10,0,,,
212,Gibson90,MT,monitor,ced_crk,1987,11,6.920415225,,,
213,Gibson90,MT,monitor,ced_crk,1988,12,3.213049926,,,
214,Hopping45,BC,monitor,plot1,1935,1,158.4158416,,,
215,Hopping45,BC,monitor,plot1,1936,2,14.85148515,,,
216,Hopping45,BC,monitor,plot1,1937,3,7.425742574,,,
217,Hopping45,BC,monitor,plot1,1938,4,7.425742574,,,
218,Hopping45,BC,monitor,plot1,1939,5,0,,,
219,Hopping45,BC,monitor,plot1,1940,6,0,,,
220,Hopping45,BC,monitor,plot1,1941,7,0,,,
221,Hopping45,BC,monitor,plot1,1942,8,2.475247525,,,
222,Hopping45,BC,monitor,plot1,1943,9,7.425742574,,,
223,Hopping45,BC,monitor,plot1,1944,10,0,,,
224,Hopping45,BC,monitor,plot2,1935,1,12.37623762,,,
225,Hopping45,BC,monitor,plot2,1936,2,14.85148515,,,
226,Hopping45,BC,monitor,plot2,1937,3,24.75247525,,,
227,Hopping45,BC,monitor,plot2,1938,4,4.95049505,,,
228,Hopping45,BC,monitor,plot2,1939,5,4.95049505,,,
229,Hopping45,BC,monitor,plot2,1940,6,4.95049505,,,
230,Hopping45,BC,monitor,plot2,1941,7,173.2673267,,,
231,Hopping45,BC,monitor,plot2,1942,8,17.32673267,,,
232,Hopping45,BC,monitor,plot2,1943,9,27.22772277,,,
233,Hopping45,BC,monitor,plot2,1944,10,2.475247525,,,
234,Hopping45,BC,monitor,plot3,1935,1,12.37623762,,,
235,Hopping45,BC,monitor,plot3,1936,2,9.900990099,,,
236,Hopping45,BC,monitor,plot3,1937,3,19.8019802,,,
237,Hopping45,BC,monitor,plot3,1938,4,7.425742574,,,
238,Hopping45,BC,monitor,plot3,1939,5,32.17821782,,,
239,Hopping45,BC,monitor,plot3,1940,6,84.15841584,,,
240,Hopping45,BC,monitor,plot3,1941,7,287.1287129,,,
241,Hopping45,BC,monitor,plot3,1942,8,39.6039604,,,
242,Hopping45,BC,monitor,plot3,1943,9,4.95049505,,,
243,Hopping45,BC,monitor,plot3,1944,10,0,,,
244,Hopping45,BC,monitor,plot4,1936,1,2.475247525,,,
245,Hopping45,BC,monitor,plot4,1937,2,0,,,
246,Hopping45,BC,monitor,plot4,1938,3,0,,,
247,Hopping45,BC,monitor,plot4,1939,4,0,,,
248,Hopping45,BC,monitor,plot4,1940,5,274.7524752,,,
249,Hopping45,BC,monitor,plot4,1941,6,64.35643564,,,
